"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS" "VOLUME" "DENSITY"
"1191" "F" 0.705 0.55 0.17 1.219 0.6395 0.236 0.301 9 "A3" 0.0659175 18.4928129859294
"3264" "M" 0.575 0.455 0.185 1.156 0.5525 0.243 0.295 13 "A5" 0.048400625 23.8839891013804
"1693" "M" 0.645 0.51 0.195 1.226 0.5885 0.2215 0.3745 10 "A3" 0.06414525 19.1128727380437
"3654" "F" 0.625 0.485 0.135 1.3025 0.61 0.2675 0.3605 14 "A5" 0.040921875 31.8289423444063
"3891" "F" 0.47 0.35 0.115 0.487 0.1955 0.127 0.155 8 "A2" 0.0189175 25.7433593233778
"189" "F" 0.585 0.46 0.17 0.9325 0.365 0.271 0.29 9 "A3" 0.045747 20.383850307124
"2184" "I" 0.275 0.22 0.08 0.1365 0.0565 0.0285 0.042 6 "A1" 0.00484 28.202479338843
"3690" "F" 0.485 0.365 0.15 0.9145 0.4145 0.199 0.273 7 "A2" 0.02655375 34.4395800969731
"2280" "M" 0.46 0.375 0.13 0.5735 0.2505 0.119 0.195 9 "A3" 0.022425 25.5741360089186
"1887" "I" 0.575 0.45 0.135 0.8715 0.45 0.162 0.225 10 "A3" 0.03493125 24.9490069779925
"3953" "M" 0.665 0.515 0.165 1.3855 0.621 0.302 0.3445 8 "A2" 0.056508375 24.5184895159346
"1873" "I" 0.565 0.435 0.145 0.8445 0.3975 0.158 0.255 9 "A3" 0.035637375 23.697031557459
"2798" "I" 0.46 0.365 0.115 0.511 0.2365 0.118 0.123 7 "A2" 0.0193085 26.4650283553875
"2364" "F" 0.485 0.365 0.14 0.6195 0.2595 0.1445 0.177 14 "A5" 0.0247835 24.9964694252224
"425" "M" 0.58 0.45 0.175 1.068 0.425 0.203 0.32 13 "A5" 0.045675 23.3825944170772
"3713" "I" 0.385 0.29 0.1 0.2575 0.1 0.061 0.086 6 "A1" 0.011165 23.0631437527989
"1016" "F" 0.63 0.495 0.165 1.3075 0.599 0.284 0.315 11 "A4" 0.05145525 25.4104294508335
"174" "I" 0.235 0.16 0.04 0.048 0.0185 0.018 0.015 5 "A1" 0.001504 31.9148936170213
"1353" "F" 0.605 0.47 0.16 1.0835 0.5405 0.2215 0.275 12 "A4" 0.045496 23.8152804642166
"3935" "I" 0.385 0.285 0.09 0.248 0.0935 0.066 0.07 6 "A1" 0.00987525 25.113288271183
"3666" "F" 0.65 0.51 0.175 1.35 0.575 0.3155 0.3885 10 "A3" 0.0580125 23.2708468002586
"2855" "I" 0.5 0.39 0.13 0.5075 0.2115 0.104 0.1755 9 "A3" 0.02535 20.0197238658777
"2639" "M" 0.57 0.45 0.135 1.02 0.546 0.204 0.25 9 "A3" 0.0346275 29.4563569417371
"4095" "M" 0.58 0.45 0.14 0.824 0.3465 0.1765 0.263 10 "A3" 0.03654 22.5506294471812
"2700" "I" 0.4 0.305 0.1 0.3415 0.176 0.0625 0.0865 7 "A2" 0.0122 27.9918032786885
"2917" "M" 0.63 0.51 0.17 1.1885 0.4915 0.3065 0.348 7 "A2" 0.054621 21.7590304095494
"2239" "M" 0.585 0.43 0.16 0.955 0.3625 0.176 0.27 11 "A4" 0.040248 23.7278870999801
"2445" "M" 0.51 0.415 0.14 0.8185 0.3025 0.2155 0.235 16 "A6" 0.029631 27.6230974317438
"1190" "F" 0.7 0.525 0.19 1.6465 0.8545 0.307 0.3995 9 "A3" 0.069825 23.5803795202291
"605" "I" 0.425 0.345 0.125 0.425 0.16 0.0795 0.154 13 "A5" 0.018328125 23.1884057971015
"3959" "I" 0.185 0.135 0.045 0.032 0.011 0.0065 0.01 4 "A1" 0.001123875 28.4729173618062
"3709" "F" 0.705 0.555 0.195 1.7525 0.7105 0.4215 0.516 12 "A4" 0.076298625 22.9689591391719
"2839" "I" 0.32 0.205 0.08 0.181 0.088 0.034 0.0495 5 "A1" 0.005248 34.4893292682927
"3268" "M" 0.645 0.5 0.19 1.229 0.524 0.278 0.395 17 "A6" 0.061275 20.0571195430437
"102" "M" 0.53 0.435 0.16 0.883 0.316 0.164 0.335 15 "A6" 0.036888 23.9373237909347
"1962" "F" 0.705 0.535 0.22 1.866 0.929 0.3835 0.4395 10 "A3" 0.0829785 22.4877528516423
"3114" "I" 0.2 0.15 0.04 0.046 0.021 0.007 0.0065 4 "A1" 0.0012 38.3333333333333
"889" "F" 0.695 0.56 0.22 1.834 0.8455 0.422 0.455 11 "A4" 0.085624 21.4192282537606
"1306" "I" 0.55 0.425 0.135 0.7305 0.3325 0.1545 0.215 9 "A3" 0.03155625 23.1491384432561
"951" "M" 0.48 0.365 0.12 0.6015 0.312 0.117 0.14 7 "A2" 0.021024 28.6101598173516
"586" "I" 0.52 0.425 0.17 0.6805 0.28 0.174 0.195 10 "A3" 0.03757 18.1128560021294
"1700" "F" 0.65 0.495 0.155 1.337 0.615 0.3195 0.335 9 "A3" 0.04987125 26.8090332606462
"1696" "M" 0.645 0.5 0.175 1.3375 0.554 0.308 0.415 10 "A3" 0.0564375 23.6987818383167
"1512" "M" 0.74 0.57 0.18 1.8725 0.9115 0.427 0.446 10 "A3" 0.075924 24.6628207154523
"625" "F" 0.525 0.405 0.16 0.658 0.2655 0.1125 0.225 12 "A4" 0.03402 19.3415637860082
"569" "F" 0.41 0.32 0.115 0.387 0.165 0.1005 0.0985 11 "A4" 0.015088 25.6495227995758
"955" "M" 0.495 0.4 0.135 0.61 0.272 0.1435 0.144 7 "A2" 0.02673 22.8208005985784
"1908" "M" 0.615 0.47 0.145 1.0285 0.4435 0.2825 0.285 11 "A4" 0.04191225 24.5393649827914
"1089" "I" 0.45 0.33 0.1 0.411 0.1945 0.1 0.098 6 "A1" 0.01485 27.6767676767677
"3511" "I" 0.46 0.34 0.09 0.384 0.1795 0.068 0.11 8 "A2" 0.014076 27.2804774083546
"188" "F" 0.63 0.48 0.16 1.199 0.5265 0.335 0.315 11 "A4" 0.048384 24.7809193121693
"1809" "I" 0.34 0.26 0.085 0.1885 0.0815 0.0335 0.06 6 "A1" 0.007514 25.0865051903114
"3267" "F" 0.605 0.485 0.165 1.0735 0.437 0.205 0.33 14 "A5" 0.048415125 22.1728230589098
"499" "M" 0.555 0.45 0.175 0.874 0.3275 0.202 0.305 10 "A3" 0.04370625 19.99713999714
"2293" "M" 0.575 0.435 0.15 0.805 0.293 0.1625 0.27 17 "A6" 0.03751875 21.455938697318
"844" "M" 0.54 0.405 0.125 0.891 0.4815 0.1915 0.202 9 "A3" 0.0273375 32.5925925925926
"521" "F" 0.36 0.27 0.09 0.1885 0.0845 0.0385 0.055 5 "A1" 0.008748 21.5477823502515
"3077" "I" 0.29 0.215 0.06 0.1115 0.053 0.0185 0.032 5 "A1" 0.003741 29.8048650093558
"3655" "I" 0.625 0.485 0.16 1.15 0.5255 0.257 0.3315 11 "A4" 0.0485 23.7113402061856
"1529" "I" 0.38 0.285 0.095 0.243 0.0895 0.0665 0.075 7 "A2" 0.0102885 23.618603294941
"2715" "I" 0.46 0.35 0.1 0.471 0.252 0.077 0.123 8 "A2" 0.0161 29.2546583850932
"387" "M" 0.46 0.38 0.135 0.482 0.207 0.1225 0.145 10 "A3" 0.023598 20.4254597847275
"1567" "F" 0.515 0.375 0.11 0.6065 0.3005 0.131 0.15 6 "A1" 0.02124375 28.5495734039423
"1119" "M" 0.545 0.39 0.135 0.7835 0.4225 0.1815 0.156 7 "A2" 0.02869425 27.3051221063453
"3322" "F" 0.51 0.38 0.13 0.584 0.224 0.1355 0.185 13 "A5" 0.025194 23.1801222513297
"1829" "I" 0.47 0.375 0.12 0.487 0.196 0.099 0.135 8 "A2" 0.02115 23.0260047281324
"3302" "F" 0.51 0.34 0.18 0.7005 0.312 0.165 0.2 11 "A4" 0.031212 22.443291041907
"3310" "F" 0.585 0.475 0.185 0.8575 0.3465 0.1785 0.275 12 "A4" 0.051406875 16.6806482595956
"3236" "M" 0.48 0.38 0.135 0.528 0.2 0.1395 0.16 14 "A5" 0.024624 21.4424951267057
"1791" "F" 0.64 0.475 0.14 1.0725 0.4895 0.2295 0.31 8 "A2" 0.04256 25.1997180451128
"3072" "M" 0.58 0.43 0.125 0.9115 0.446 0.2075 0.121 10 "A3" 0.031175 29.2381716118685
"2561" "F" 0.53 0.405 0.15 0.889 0.4055 0.2275 0.215 8 "A2" 0.0321975 27.6108393508813
"2890" "M" 0.595 0.46 0.17 1.1295 0.57 0.2555 0.265 10 "A3" 0.046529 24.2751832190677
"3" "F" 0.53 0.42 0.135 0.677 0.2565 0.1415 0.21 9 "A3" 0.030051 22.5283684403181
"1934" "I" 0.64 0.49 0.135 1.1 0.488 0.2505 0.2925 10 "A3" 0.042336 25.9826152683296
"896" "I" 0.265 0.195 0.06 0.092 0.0345 0.025 0.0245 6 "A1" 0.0031005 29.6726334462183
"1544" "I" 0.45 0.34 0.095 0.3245 0.1385 0.064 0.105 8 "A2" 0.014535 22.3254213966288
"2491" "F" 0.465 0.35 0.135 0.6265 0.259 0.1445 0.175 8 "A2" 0.02197125 28.5145360414178
"1430" "I" 0.44 0.34 0.105 0.369 0.164 0.08 0.1015 5 "A1" 0.015708 23.4912146676853
"452" "F" 0.665 0.555 0.195 1.4385 0.581 0.354 0.36 17 "A6" 0.071969625 19.9875989349674
"990" "F" 0.58 0.46 0.15 1.1155 0.5575 0.2255 0.29 7 "A2" 0.04002 27.8735632183908
"2713" "I" 0.45 0.335 0.095 0.3505 0.1615 0.0625 0.1185 7 "A2" 0.01432125 24.4741206249454
"4099" "F" 0.595 0.455 0.14 0.914 0.3895 0.2225 0.271 9 "A3" 0.0379015 24.1151405617192
"3199" "I" 0.42 0.325 0.125 0.3915 0.1575 0.1025 0.115 9 "A3" 0.0170625 22.9450549450549
"418" "F" 0.63 0.5 0.155 1.005 0.367 0.199 0.36 16 "A6" 0.048825 20.5837173579109
"1764" "M" 0.525 0.365 0.17 0.9605 0.438 0.2225 0.276 10 "A3" 0.03257625 29.484670580561
"3995" "I" 0.435 0.325 0.1 0.366 0.174 0.0725 0.109 7 "A2" 0.0141375 25.8885941644562
"3621" "I" 0.53 0.425 0.13 0.781 0.3905 0.2005 0.215 9 "A3" 0.0292825 26.6712200119525
"3593" "F" 0.67 0.525 0.195 1.42 0.573 0.368 0.3905 10 "A3" 0.06859125 20.702349060558
"710" "I" 0.325 0.25 0.08 0.176 0.0595 0.0355 0.063 7 "A2" 0.0065 27.0769230769231
"530" "I" 0.53 0.42 0.185 0.752 0.299 0.156 0.205 20 "A6" 0.041181 18.2608484495277
"2646" "M" 0.59 0.46 0.14 1.004 0.496 0.2165 0.26 9 "A3" 0.037996 26.4238340877987
"1391" "M" 0.65 0.525 0.175 1.5365 0.6865 0.3585 0.405 11 "A4" 0.05971875 25.7289377289377
"2659" "F" 0.625 0.49 0.155 1.115 0.484 0.277 0.3095 9 "A3" 0.04746875 23.4891375905201
"1297" "I" 0.54 0.42 0.14 0.7265 0.3205 0.1445 0.229 9 "A3" 0.031752 22.8804484756866
"760" "M" 0.585 0.405 0.15 1.2565 0.435 0.202 0.325 15 "A6" 0.03553875 35.3557736273786
"3165" "F" 0.61 0.47 0.16 1.017 0.426 0.2255 0.32 12 "A4" 0.045872 22.1703871642832
"379" "F" 0.61 0.495 0.185 1.1085 0.3705 0.3135 0.33 12 "A4" 0.05586075 19.8439870571018
"1888" "I" 0.575 0.45 0.135 0.8245 0.3375 0.2115 0.239 11 "A4" 0.03493125 23.603506888531
"2068" "F" 0.72 0.575 0.215 2.1 0.8565 0.4825 0.602 12 "A4" 0.08901 23.592854735423
"2425" "I" 0.275 0.205 0.08 0.096 0.036 0.0185 0.03 6 "A1" 0.00451 21.2860310421286
"1345" "I" 0.6 0.475 0.15 1.12 0.565 0.2465 0.27 10 "A3" 0.04275 26.1988304093567
"1974" "I" 0.29 0.21 0.07 0.1115 0.048 0.0205 0.03 5 "A1" 0.004263 26.1552897020877
"3855" "M" 0.62 0.5 0.2 1.221 0.4605 0.263 0.43 12 "A4" 0.062 19.6935483870968
"1950" "M" 0.665 0.525 0.18 1.429 0.6715 0.29 0.4 12 "A4" 0.0628425 22.739388152922
"3594" "M" 0.69 0.53 0.19 1.5955 0.678 0.331 0.48 10 "A3" 0.069483 22.9624512470676
"4134" "M" 0.52 0.385 0.165 0.791 0.375 0.18 0.1815 10 "A3" 0.033033 23.9457512184785
"2456" "F" 0.47 0.355 0.18 0.441 0.1525 0.1165 0.135 8 "A2" 0.030033 14.6838477674558
"1657" "M" 0.61 0.47 0.17 1.1185 0.5225 0.2405 0.31 9 "A3" 0.048739 22.948767927122
"594" "M" 0.535 0.42 0.15 0.6995 0.2575 0.153 0.24 12 "A4" 0.033705 20.7535973891114
"3771" "M" 0.425 0.305 0.11 0.359 0.173 0.0875 0.0975 9 "A3" 0.01425875 25.1775225738582
"1214" "I" 0.33 0.25 0.095 0.2085 0.102 0.0395 0.052 7 "A2" 0.0078375 26.6028708133971
"245" "I" 0.35 0.26 0.085 0.174 0.0705 0.0345 0.06 10 "A3" 0.007735 22.4951519069166
"3818" "M" 0.55 0.41 0.15 0.785 0.282 0.186 0.275 12 "A4" 0.033825 23.2076866223208
"2902" "I" 0.61 0.49 0.16 1.1545 0.5865 0.2385 0.2915 11 "A4" 0.047824 24.1405988624958
"573" "F" 0.57 0.44 0.14 0.9535 0.3785 0.201 0.305 17 "A6" 0.035112 27.1559580770107
"2211" "F" 0.56 0.445 0.18 0.903 0.3575 0.2045 0.295 9 "A3" 0.044856 20.1310861423221
"3840" "F" 0.525 0.41 0.15 0.708 0.274 0.151 0.25 12 "A4" 0.0322875 21.9279907084785
"2356" "I" 0.415 0.325 0.115 0.3285 0.1405 0.051 0.106 12 "A4" 0.015510625 21.179030503284
"1627" "M" 0.58 0.46 0.155 1.0335 0.469 0.2225 0.295 10 "A3" 0.041354 24.9915364898196
"2606" "I" 0.33 0.24 0.075 0.163 0.0745 0.033 0.048 6 "A1" 0.00594 27.4410774410774
"1286" "I" 0.52 0.4 0.13 0.5825 0.233 0.1365 0.18 10 "A3" 0.02704 21.5421597633136
"1237" "I" 0.385 0.28 0.085 0.2175 0.097 0.038 0.067 8 "A2" 0.009163 23.7367674342464
"884" "F" 0.67 0.585 0.16 1.309 0.5445 0.2945 0.413 10 "A3" 0.062712 20.8731981120041
"1485" "M" 0.63 0.455 0.15 1.1315 0.481 0.2745 0.305 9 "A3" 0.0429975 26.3154834583406
"4131" "I" 0.475 0.365 0.115 0.499 0.232 0.0885 0.156 10 "A3" 0.019938125 25.0274286072537
"620" "M" 0.345 0.255 0.08 0.169 0.06 0.0425 0.054 10 "A3" 0.007038 24.0125035521455
"366" "M" 0.58 0.465 0.145 0.887 0.4405 0.1655 0.265 11 "A4" 0.0391065 22.6816513878767
"570" "I" 0.45 0.35 0.14 0.474 0.21 0.109 0.1275 16 "A6" 0.02205 21.4965986394558
"2769" "M" 0.63 0.47 0.15 1.1355 0.539 0.2325 0.3115 12 "A4" 0.044415 25.5656872678149
"2484" "I" 0.375 0.3 0.075 0.144 0.059 0.03 0.044 7 "A2" 0.0084375 17.0666666666667
"3575" "M" 0.515 0.39 0.14 0.678 0.341 0.1325 0.119 8 "A2" 0.028119 24.1118105195775
"2699" "I" 0.395 0.32 0.1 0.3075 0.149 0.0535 0.09 8 "A2" 0.01264 24.3275316455696
"2955" "F" 0.51 0.37 0.21 1.183 0.508 0.292 0.343 9 "A3" 0.039627 29.8533827945593
"2089" "M" 0.62 0.49 0.17 1.2105 0.5185 0.2555 0.335 13 "A5" 0.051646 23.438407621113
"2644" "F" 0.585 0.435 0.14 0.6955 0.3085 0.129 0.2245 8 "A2" 0.0356265 19.5219850392264
"3292" "I" 0.49 0.385 0.14 0.5425 0.198 0.127 0.175 11 "A4" 0.026411 20.5406838059899
"3149" "M" 0.38 0.3 0.1 0.2505 0.106 0.0535 0.0775 8 "A2" 0.0114 21.9736842105263
"3923" "F" 0.555 0.44 0.155 1.016 0.4935 0.1855 0.263 10 "A3" 0.037851 26.8420913582204
"1759" "I" 0.485 0.345 0.16 0.869 0.3085 0.185 0.319 9 "A3" 0.026772 32.459285821007
"1248" "I" 0.425 0.325 0.11 0.3335 0.173 0.045 0.1 7 "A2" 0.01519375 21.9498148909914
"1638" "F" 0.6 0.46 0.155 0.9735 0.427 0.2045 0.3 8 "A2" 0.04278 22.7559607293128
"42" "F" 0.55 0.425 0.135 0.8515 0.362 0.196 0.27 14 "A5" 0.03155625 26.9835611012082
"736" "M" 0.52 0.385 0.115 0.669 0.2385 0.172 0.205 12 "A4" 0.023023 29.057898623116
"3369" "M" 0.365 0.285 0.085 0.2205 0.0855 0.0515 0.07 9 "A3" 0.008842125 24.9374443360618
"924" "I" 0.43 0.325 0.1 0.3645 0.1575 0.0825 0.105 7 "A2" 0.013975 26.08228980322
"956" "M" 0.5 0.39 0.135 0.6595 0.3145 0.1535 0.1565 6 "A1" 0.026325 25.0522317188984
"307" "M" 0.645 0.515 0.24 1.5415 0.471 0.369 0.535 13 "A5" 0.079722 19.3359423998394
"982" "F" 0.565 0.4 0.13 0.6975 0.3075 0.1665 0.18 8 "A2" 0.02938 23.7406398910824
"2923" "M" 0.64 0.505 0.18 1.297 0.59 0.3125 0.363 11 "A4" 0.058176 22.2944169416942
"3383" "I" 0.48 0.355 0.115 0.5785 0.25 0.106 0.184 8 "A2" 0.019596 29.5213308838538
"1986" "I" 0.375 0.275 0.085 0.22 0.109 0.05 0.0605 7 "A2" 0.008765625 25.0980392156863
"1548" "I" 0.46 0.355 0.11 0.4255 0.2015 0.081 0.13 7 "A2" 0.017963 23.6875800256082
"983" "M" 0.57 0.45 0.155 1.195 0.5625 0.2565 0.295 10 "A3" 0.0397575 30.0572219078161
"443" "I" 0.395 0.295 0.1 0.2715 0.134 0.0325 0.085 10 "A3" 0.0116525 23.2997210898949
"1555" "I" 0.48 0.37 0.125 0.474 0.179 0.1035 0.175 9 "A3" 0.0222 21.3513513513514
"4133" "F" 0.515 0.4 0.125 0.615 0.2865 0.123 0.1765 8 "A2" 0.02575 23.8834951456311
"865" "M" 0.605 0.455 0.16 1.1035 0.421 0.3015 0.325 9 "A3" 0.044044 25.0544909635819
"1772" "F" 0.55 0.38 0.165 1.205 0.543 0.294 0.3345 10 "A3" 0.034485 34.942728722633
"869" "M" 0.615 0.505 0.165 1.34 0.5315 0.2815 0.41 12 "A4" 0.051244875 26.1489563590505
"2000" "M" 0.505 0.385 0.115 0.4825 0.21 0.1035 0.1535 10 "A3" 0.022358875 21.5797977313259
"1409" "F" 0.72 0.575 0.17 1.9335 0.913 0.389 0.51 13 "A5" 0.07038 27.4722932651321
"2587" "F" 0.63 0.495 0.2 1.4255 0.659 0.336 0.38 11 "A4" 0.06237 22.8555395222062
"1491" "F" 0.645 0.515 0.175 1.546 0.7035 0.365 0.415 10 "A3" 0.058130625 26.595275726005
"1414" "F" 0.745 0.57 0.215 2.25 1.1565 0.446 0.558 9 "A3" 0.09129975 24.6440981492282
"2122" "M" 0.47 0.37 0.105 0.4665 0.2025 0.1015 0.155 10 "A3" 0.0182595 25.5483446972809
"2943" "M" 0.69 0.515 0.18 1.8445 0.9815 0.4655 0.341 13 "A5" 0.063963 28.8369838813064
"879" "M" 0.65 0.525 0.175 1.4715 0.675 0.315 0.399 11 "A4" 0.05971875 24.6405023547881
"1640" "M" 0.6 0.48 0.165 0.9165 0.4135 0.1965 0.2725 9 "A3" 0.04752 19.2866161616162
"1056" "I" 0.225 0.165 0.055 0.059 0.027 0.0125 0.015 4 "A1" 0.002041875 28.8950107131925
"2502" "M" 0.58 0.46 0.18 1.145 0.48 0.277 0.325 11 "A4" 0.048024 23.8422455438947
"730" "M" 0.525 0.4 0.13 0.8295 0.2405 0.1825 0.275 11 "A4" 0.0273 30.3846153846154
"3428" "F" 0.61 0.495 0.175 1.2635 0.53 0.315 0.3455 10 "A3" 0.05284125 23.9112435833747
"2963" "F" 0.59 0.44 0.14 1.007 0.4775 0.2105 0.2925 9 "A3" 0.036344 27.7074620294959
"2652" "F" 0.605 0.48 0.15 1.079 0.4505 0.2835 0.293 10 "A3" 0.04356 24.7704315886134
"2452" "M" 0.605 0.49 0.145 1.3 0.517 0.3285 0.31 14 "A5" 0.04298525 30.2429321685927
"1476" "F" 0.61 0.485 0.17 1.1005 0.5125 0.229 0.305 11 "A4" 0.0502945 21.8811202020102
"2101" "I" 0.475 0.36 0.11 0.4555 0.177 0.0965 0.145 9 "A3" 0.01881 24.2158426368953
"3467" "M" 0.59 0.46 0.145 0.929 0.38 0.24 0.255 10 "A3" 0.039353 23.6068406474729
"2305" "M" 0.475 0.395 0.135 0.592 0.2465 0.1645 0.2 13 "A5" 0.025329375 23.3720729390283
"3327" "I" 0.39 0.3 0.1 0.3085 0.1385 0.0735 0.085 6 "A1" 0.0117 26.3675213675214
"1238" "I" 0.385 0.3 0.095 0.302 0.152 0.0615 0.0735 7 "A2" 0.0109725 27.5233538391433
"2805" "M" 0.535 0.405 0.14 0.818 0.402 0.1715 0.189 7 "A2" 0.0303345 26.9659958133478
"1049" "F" 0.715 0.525 0.185 1.56 0.6655 0.383 0.405 11 "A4" 0.069444375 22.4640224640225
"2352" "I" 0.435 0.335 0.11 0.383 0.1555 0.0675 0.135 12 "A4" 0.01602975 23.8930738158736
"1904" "M" 0.61 0.48 0.14 1.031 0.4375 0.2615 0.27 8 "A2" 0.040992 25.1512490241998
"3958" "M" 0.72 0.6 0.235 2.2385 0.984 0.411 0.621 12 "A4" 0.10152 22.0498423955871
"2233" "M" 0.51 0.395 0.145 0.6185 0.216 0.1385 0.24 12 "A4" 0.02921025 21.1740741691701
"3610" "I" 0.465 0.355 0.12 0.4975 0.2375 0.099 0.14 8 "A2" 0.019809 25.1148467868141
"3565" "M" 0.685 0.53 0.17 1.56 0.647 0.383 0.465 11 "A4" 0.0617185 25.2760517510957
"1084" "I" 0.445 0.34 0.145 0.434 0.1945 0.0905 0.13 7 "A2" 0.0219385 19.7825740137202
